,name,designation,titles,research,background,keywords,links,area
1,"Agostinelli, Forest",Assistant Professor,Faculty,My Research WebsiteGoogle ScholarGitHub,,"[""research"",""websitegoogle"",""scholargithub""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/forest_agostinelli.php,My Research WebsiteGoogle ScholarGitHub
2,"Ahmad, Iftikhar",Assistant Professor,Faculty,"Dr . Iftikhar Ahmad received his Master of Science M . Sc . degree from Govt . College Lahore and ranked first in the state . He completed his master s and doctoral programs from Texas Tech University in 2003 and 2005 , respectively , in the field of wide bandgap semiconductors . He has gone through post doctoral training at Virginia Commonwealth University in Richmond , Virginia , in the growth processes involving molecular beam epitaxy MBE and metal organic chemical vapor deposition MOCVD techniques . He joined the University of South Carolina as a post doctoral fellow in 2007 and later worked as a research assistant professor . His research focus was the growth and characterization of wide bandgap semiconductors based materials and devices . Dr . Ahmad worked for the industry as a Senior Scientist from 2010 to 2018 , where he developed high quality ultra wide bandgap materials for ultraviolet light emitting diodes UV LEDs . Dr . Ahmad joined the University of South Carolina in 2018 as a Tenure Track Assistant Professor to establish his research is ultra wide bandgap semiconductors . His research involves traditional III nitride based semiconductors like AlGaN and recently emerging semiconductor materials like boron nitride and gallium oxides . The research focuses on exploring the novel approaches to MOCVD growth of emerging materials and their application in the devices based on traditional III nitrides .","Dr. Iftikhar Ahmad received his Master of Science (M. Sc.) degree from Govt. College
                                 Lahore and ranked first in the state. He completed his master’s and doctoral programs
                                 from Texas Tech University in 2003 and 2005, respectively, in the field of wide bandgap
                                 semiconductors. He has gone through post-doctoral training at Virginia Commonwealth
                                 University in Richmond, Virginia, in the growth processes involving molecular beam
                                 epitaxy (MBE) and metal-organic chemical vapor deposition (MOCVD) techniques. He joined
                                 the University of South Carolina as a post-doctoral fellow in 2007 and later worked
                                 as a research assistant professor. His research focus was the growth and characterization
                                 of wide bandgap semiconductors-based materials and devices. Dr. Ahmad worked for the
                                 industry as a Senior Scientist from 2010 to 2018, where he developed high-quality
                                 ultra-wide bandgap materials for ultraviolet light-emitting diodes (UV-LEDs).","[""research"",""bandgap"",""wide"",""university""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/ahmad.php,"He completed his master s and doctoral programs from Texas Tech University in 2003 and 2005 , respectively , in the field of wide bandgap semiconductors .
He has gone through post doctoral training at Virginia Commonwealth University in Richmond , Virginia , in the growth processes involving molecular beam epitaxy MBE and metal organic chemical vapor deposition MOCVD techniques .
He joined the University of South Carolina as a post doctoral fellow in 2007 and later worked as a research assistant professor .
Ahmad worked for the industry as a Senior Scientist from 2010 to 2018 , where he developed high quality ultra wide bandgap materials for ultraviolet light emitting diodes UV LEDs .
Ahmad joined the University of South Carolina in 2018 as a Tenure Track Assistant Professor to establish his research is ultra wide bandgap semiconductors ."
3,"Alexeev, Oleg S.","Research Professor, Chemical Engineering",Faculty,"Ph . D . , Boreskov Institute of Catalysis , Novosibirsk , RussiaM . S . , Novosibirsk State University , Novosibirsk , RussiaCatalytic processes on surfaces take place through sequences of elementary reactions involving adsorbed reactants , products , and reaction intermediates associated with active sites on the catalyst surface . Our research goals are focused on fundamental understanding of the structure of the metal support interface , structures of metal clusters on supports , and the influence of promoters on the structure and catalytic properties of supported metal clusters and aggregates . The objectives of our research program are pursued through an application of a combination of various experimental methods to the characterization of catalytic materials . Spectroscopic techniques , including TPD , TPR , FTIR , XPS , HRTEM , XRD , UV Visible , and EXAFS , are used to characterize active sites of catalysts and adsorbed species under actual conditions of catalysis . Considerable information gained from these techniques along with the chemisorption and catalytic data is used to establish the dependence of catalytic properties on metal cluster or particle sizes , the structure of active sites , and the structure of the metal support interface .",,"[""metal"",""catalytic"",""structure"",""active""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/alexeevoleg.php,"Spectroscopic techniques , including TPD , TPR , FTIR , XPS , HRTEM , XRD , UV Visible , and EXAFS , are used to characterize active sites of catalysts and adsorbed species under actual conditions of catalysis ."
4,"Ali, Mohammod","Department Chair, Electrical Engineering",Faculty,"SwearingenRoom 3A79301 Main StreetColumbia , SC 29208Dr . Mohammod Ali is a professor in the Department of Electrical Engineering at the University of South Carolina USC . Just prior to his tenure as department chair in August 2021 , he worked as a Program Director under Intergovernmental Personnel Act IPA assignment at the National Science Foundation in the Electrical , Communications , and Cyber Systems ECCS division at the Directorate for Engineering in Alexandria , VA for 2 years . Prof . Ali received his B . Sc . in Electrical and Electronic Engineering from the Bangladesh University of Engineering and Technology BUET , Dhaka in 1987 . He received his M . A . Sc . and Ph . D . degrees in Electrical Engineering in 1994 and 1997 , respectively from the University of Victoria , British Columbia , Canada .",,"[""engineering"",""electrical"",""university""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/alimohammod.php,Mohammod Ali is a professor in the Department of Electrical Engineering at the University of South Carolina USC .
5,"Alshareef, Ahmed A. ","Assistant Professor, Mechanical Engineering, Biomedical Engineering",Faculty,"Dr . Alshareef s research interests include injury biomechanics , experimental characterization of biological tissue , computational biomechanics , and magnetic resonance imaging MRI . Prior to joining USC , he was a scientist in the radiology department at the NIH Clinical Center 2022 after a postdoctoral fellowship at Johns Hopkins University 2019 2021 , where he studied the biomechanics of traumatic brain injury using specialized , non invasive MRI techniques . Dr . Alshareef completed his B . S . at Duke University in biomedical engineering in 2014 , with a focus on biomechanics and tissue engineering . He then received his PhD in BME at the University of Virginia in 2019 , with a dissertation focused on experimental and computational investigations of brain deformation in humans during head impact . His lab s current research interests are aimed at using advanced experimental and computational techniques to measure and model the biomechanics of biological tissue for injury and disease prevention . Virginia Engineering Foundation Graduate Fellowship 2018Anthony Marmarou Award from the National Neurotrauma Society 2017Biomechanics plays an important role in understanding , preventing , and healing injury and disease in the human body . A fundamental understanding of the mechanics of biological tissues allows us to employ experimental and computational methods to assess mitigation strategies , as well as tailor patient specific surgical and therapeutic interventions . Our lab s current research is aimed at","Dr. Alshareef's research interests include injury biomechanics, experimental characterization
                                    of biological tissue, computational biomechanics, and magnetic resonance imaging (MRI).
                                    Prior to joining USC, he was a scientist in the radiology department at the NIH Clinical
                                    Center (2022) after a postdoctoral fellowship at Johns Hopkins University (2019-2021),
                                    where he studied the biomechanics of traumatic brain injury using specialized, non-invasive
                                    MRI techniques.Dr. Alshareef completed his B.S. at Duke University in biomedical engineering in 2014,
                                    with a focus on biomechanics and tissue engineering. He then received his PhD in BME
                                    at the University of Virginia in 2019, with a dissertation focused on experimental
                                    and computational investigations of brain deformation in humans during head impact.
                                    His lab's current research interests are aimed at using advanced experimental and
                                    computational techniques to measure and model the biomechanics of biological tissue
                                    for injury and disease prevention.","[""biomechanics"",""university"",""injury"",""experimental"",""computational"",""tissue""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/ahmed_alshareef.php,"Alshareef s research interests include injury biomechanics , experimental characterization of biological tissue , computational biomechanics , and magnetic resonance imaging MRI .
Prior to joining USC , he was a scientist in the radiology department at the NIH Clinical Center 2022 after a postdoctoral fellowship at Johns Hopkins University 2019 2021 , where he studied the biomechanics of traumatic brain injury using specialized , non invasive MRI techniques .
He then received his PhD in BME at the University of Virginia in 2019 , with a dissertation focused on experimental and computational investigations of brain deformation in humans during head impact .
His lab s current research interests are aimed at using advanced experimental and computational techniques to measure and model the biomechanics of biological tissue for injury and disease prevention ."
6,"Ammal, Salai C.","Research Associate Professor, Chemical Engineering",Faculty,"CV of Dr . Ammal pdfPh . D . , Bharathidasan University , India , 1998M . S . , Bharathidasan University , India , 1992",,"[""university"",""bharathidasan"",""india""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/ammalsalai.php,
9,"Azhar, Mohamad",Associate Professor of Cell Biology & Anatomy,Faculty,,,,https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/azhar_mohamad.php,
10,"Bailey, Robert",Instructor,Faculty,"B . S . , Computer Science , University of South CarolinaM . S . , Computer Science , University of South Carolina",,"[""computer"",""south"",""science"",""university""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/robert_bailey.php,
11,"Bakos, Jason D. ","Professor, Computer Science & Engineering",Faculty,"Dr . Bakos s research interests involve computer architecture at the circuit level , micro architectural level , and system level . This includes VLSI design , design automation , system level interconnects , reconfigurable computing and high performance computing .","
Ph.D., Computer Science, University of Pittsburgh, (2005)
B.S., Computer Science, Youngstown State University, (1999)
","[""level"",""computer"",""system"",""university"",""science""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/jasonbakos.php,
14,"Banerjee, Sourav ","Professor, Mechanical Engineering",Faculty,"Dr . Banerjee s expertise and research interest includes Computational NDE SHM , Material State Awareness , Smart Structure Energy Harvesting , Mechatronics Robotics , Biomimetic and Metamaterials . Banerjee s Current Research is spanned across the following primary fields",,"[""research"",""banerjee"",""harvesting"",""current"",""smart""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/banerjee_sourav.php,
18,"Bayoumi, Abdel-Moez E. ","Professor Mechanical Engineering, Biomedical Engineering ",Faculty,"300 Main StreetRoom A223Columbia , SC 29208Dr . Bayoumi has about 40 years teaching , research and industry experience . He is currently the Director of the Center for Predictive Maintenance , Associate Dean for Corporate Relations and Professor of Mechanical and Biomedical Engineering . Prior to joining USC , he was Professor of Mechanical and Aerospace Engineering at North Carolina State University , a project manager at Hewlett Packard Company , and Professor of Mechanical and Materials Engineering at Washington State University . He has been actively involved in developing strong programs in mechanical , biomedical , nuclear and aerospace engineering . His research activities have been focused in mechanical behavior of materials , tribology , diagnosis and prognosis and life predictions of mechanical systems , manufacturing processes , health monitoring systems , condition based maintenance , and digital transformation . Dr . Bayoumi has received more than 35M in funding from the US Department of Defense , US Department of Energy , US National Science Foundation and various US industries . He has published over 150 journal and conference papers","Dr. Bayoumi has about 40 years teaching, research and industry experience. He is currently
                                 the Director of the Center for Predictive Maintenance, Associate Dean for Corporate
                                 Relations and Professor of Mechanical and Biomedical Engineering. Prior to joining
                                 USC, he was Professor of Mechanical and Aerospace Engineering at North Carolina State
                                 University, a project manager at Hewlett-Packard Company, and Professor of Mechanical
                                 and Materials Engineering at Washington State University. He has been actively involved
                                 in developing strong programs in mechanical, biomedical, nuclear and aerospace engineering.
                                 His research activities have been focused in mechanical behavior of materials, tribology,
                                 diagnosis and prognosis and life predictions of mechanical systems, manufacturing
                                 processes, health monitoring systems, condition-based maintenance, and digital transformation.
                                 Dr. Bayoumi has received more than $35M in funding from the US Department of Defense,
                                 US Department of Energy, US National Science Foundation and various US industries.
                                 He has published over 150 journal and conference papers","[""mechanical"",""engineering"",""professor""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/bayoumi_abdel.php,"He is currently the Director of the Center for Predictive Maintenance , Associate Dean for Corporate Relations and Professor of Mechanical and Biomedical Engineering .
Prior to joining USC , he was Professor of Mechanical and Aerospace Engineering at North Carolina State University , a project manager at Hewlett Packard Company , and Professor of Mechanical and Materials Engineering at Washington State University .
He has been actively involved in developing strong programs in mechanical , biomedical , nuclear and aerospace engineering .
His research activities have been focused in mechanical behavior of materials , tribology , diagnosis and prognosis and life predictions of mechanical systems , manufacturing processes , health monitoring systems , condition based maintenance , and digital transformation ."
